Marque,Ingr,Rating,Reference
Ermenegildo Zegna," AVANT D’, CI 17200(RED 33), PARFUM/FRAGRANCE, LYCIUM BARBARUM (GOJI BERRY / BAIES DE GOJI) FRUIT EXTRACT,DIENTS SONT ADAPT&EACUTE, BISABOLOL, [+/- CI 77491, AUF EINEM PRODUKT FINDET SICH DIESE JEWEILS AM ENDE DER INHALTSSTOFFLISTE, BUTYROSPERMUM PARKII (SHEA BUTTER), VIOLET 2 (F, LINALLOL,#10076 ALCOHOL, HYDROGEN PEROXIDE,LES LISTES D'INGR&EACUTE, PARFUM(FRAGRANCE), OHNE HIERZU RECHTLICH VERPFLICHTET ZU SEIN, CYCLOPENTASILOXANE, CI 17200 (RED 33)",3.8,Indonesian Oud Eau de Parfum pour homme
Ermenegildo Zegna," LACTIC ACID, B28669/1), GERANIOL,CI 60730 (EXT VIOLET 2),L, HEXANAL, DISODIUM EDTA (F, B205877/1), BUTYL METHOXY DIBENZOYLMETHANE,I, SACCHAROMYCES MAGNESIUM FERMENT, AQUA (WATER/EAU), AQUA(WATER), 
COUMARIN,L ETHYLHEXYL METHOXYCINNAMATE LIMONENE, B226070/1),DIETHYLAMINO HYDROXYBENZOYL HEXYL BENZOATE, 1), 1, OCTYLDODECYL PCA",4.1,Italian Bergamot Eau de Parfum pour homme
Amouage," AQUA (WATER/EAU), MARIS SAL/SEA SALT/SEL MARIN, ALCOHOL ·TRIS(TETRAMETHYLHYDROXYPIPERIDINOL)CITRATE, CI 17200(RED 33), TETRASODIUM PYROPHOSPHATE, 
CINNAMAL, PEG-40 STEARATE, BUTANE,INGR&EACUTE, TRIDECETH-2 CARBOXAMIDE MEA, RED 4 (CI4700), TOCOPHEROL, B229660/1), BENZYL GLYCOL, AQUA (WATER) PARFUM (FRAGRANCE) ETHYLHEXYL METHOXYCINNAMATE BUTYL METHOXYDIBENZOYLMETHANE ETHYLHEXYL SALICYLATE ALPHA-ISOMETHYL IONONE LIMONENE CITRONELLOL COUMARIN HYDROXYCITRONELLAL LINALOOL CITRAL ISOEUGENOL BENZYL BENZOATE GERANIOL ANISE ALCOHOL BENZYL ALCOHOL BHT TOCOPHEROL,ALCOHOL, SODIUM BENZOATE,AQUA / WATER",4.6,Portrayal Eau de Parfum pour homme
Ajmal," EVERNIA PRUNASTRI (OAKMOSS) EXTRACT, STYRENE ACRYLATES COPOLYMER, COMMIPHORA MUKUL RESIN EXTRACT, BUTYLENE GLYCOL DICAPRYLATE/DICAPRATE,BHT, CI 77499 / IRON OXIDES, HYDROXYCITRONELLAL, RETINYL PALMITATE, DIAMOND POWDER,DIETHYLAMINO HYDROXYBENZOYL HEXYL BENZOATE, HYDROXYCITRONELIAL, BENZYLALCOHOL",4.3,Incense Wood Eau de Parfum mixte
Amouage,"#09238/A ALCOHOL, SACCHAROMYCES MAGNESIUM FERMENT, AQUA, PARFUM (FRAGRANCE) AQUA (WATER) BENZYL SALICYLATE LINALOOL HEXYL CINNAMAL HYDROXYCITRONELLAL ALPHA-ISOMETHYL IONONE CITRONELLOL LIMONENE GERANIOL EUGENOL BENZYL BENZOATE BENZYL ALCOHOL CITRAL, LINALOOL, CI 60730 (EXT VIOLET 2) ALCOHOL OF VEGETAL ORIGIN 80% VOL, CI 42090, BLUE 1 (CI 42090), AESCULUS HIPPOCASTANUM SEED EXTRACT, CI 60730/EXT, FARNESOL (F, SODIUM STANNATE, PROPANE, EVERNIA PRUNASTRI (OAKMOSS) EXTRACT, , SIE GELTEN STETS NUR FÜR DAS JEWEILS BEZEICHNETE PRODUKT MIT DER DAZU ANGEGEBENEN PRODUKT-REFERENZNUMMER, HYDROXYISOHEXYL 3-CYCLOHEXENE CARBOXALDEHYD,DIETHYLAMINO HYDROXYBENZOYL HEXYL BENZOATE",5.0,Ciel Eau de Parfum pour femme
Bvlgari,"C BLUE NO, PROPYL GALLATE, CETEARETH-30, BENZYL CINNAMATE, STYRENE ACRYLATES COPOLYMER, LIMONENE, BENZYL BENZOATE (F, EXT VIOLET 2 (C, HYDROXYISOHEXYL 3-CYCLOHEXENE CARBOXALDEHYDE, LIRE LA LISTE D'INGR&EACUTE,COUMARIN, PARFUM (FRAGRANCE) AQUA (WATER) BENZYL SALICYLATE LINALOOL HEXYL CINNAMAL HYDROXYCITRONELLAL ALPHA-ISOMETHYL IONONE CITRONELLOL LIMONENE GERANIOL EUGENOL BENZYL BENZOATE BENZYL ALCOHOL CITRAL, LYCIUM CHINENSE FRUIT EXTRACT,CI 14700 – CI 19140 – CI 17200 (BROWN 1 REPLACEMENT), BENZOPHENONE-3, JOJOBA ESTERS, WATER(AQUA/EAU), ANISE ALCOHOL (F",3.7,Splendida Patchouli Tentation Eau de Parfum pour femme
Calvin Klein," O-CYMEN-5-OL,HYDROXYBENZOYLHEXYL BENZOATE ·BHT,AQUA, VOUS &ECIRC,C RED N&DEG, ANISE ALCOHOL (F, CINNAMYL ALCOHOL, HELIANTHUS ANNUUS SEED OIL,C RED NO,DIENTS SONT ADAPT&EACUTE, NITROCELLULOSE, BHT ,4 (CI 14700), PARFUM / FRAGRANCE,ALCOHOL  DENAT,ALPHA-ISOMETHYL IONONE,INGR&EACUTE, CI42090,C ORANGE N&DEG, SODIUM OLIVAMPHOACETATE",5.0,Sheer Beauty Eau de Toilette pour femme
Michael Kors," CI 14700, ANISE ALCOHOL, VIOLET 2 (CI 60730), ACACIA SENEGAL GUM,I, EHTYLHEXYL METHOXYCINNAMATE, CETYL ALCOHOL, AESCULUS HIPPOCASTANUM SEED EXTRACT, HYDROGENATED COCO-GLYCERIDES,AQUA,GERANIOL, CHARCOAL EXTRACT, PEG-60 HYDROGENATED CASTOR OIL, BUTYL METHOXY DIBENZOYLMETHANE,#13380 ALCOHOL",5.0,Glam Jasmine Eau de Parfum pour femme
Azzaro," DIETHYLAMINO HYDROXYBENZOYLHEXYL BENZOATE, CI 15985 (YELLOW 6), PARFUM / FRAGRANCE, VIOLET (CI60730), BUTYL METHOXY DIBENZOYLMETHANE, C167920/1), ISOSTEARYL HYDROXYSTEARATE, CI 17200 (RED 33), RICINUS COMMUNIS (CASTOR) SEED OIL, B172401/1), STEARALKONIUM BENTONITE, CETEARYL ALCOHOL, WATER,875191 06, VIOLET 2) , JOUR,PARFUM (FRAGRANCE)",4.5,Wanted By Night Eau de Parfum pour homme
Al Haramain," HYDROXYPROPYL METHYLCELLULOSE, PPG-15 STEARYL ETHER, CI 17200, HYDROGEN PEROXIDE, EVERNIA FURFURACEA EXTRACT / TREEMOSS EXTRACT, CITRATE,YELLOW 5 8CI19140), IONONE, METHYL 2-OCTYNOATE, CENTELLA ASIATICA LEAF EXTRACT,UTILISER UN PRODUIT DE NOTRE MARQUE, B225622/1), YELLOW 5 (C, B, TROMETHAMINE, VOUS &ECIRC, METHYLPROPANEDIOL, DIETHYLAMINO HYDROXYBENZOYLHEXYL BENZOATE",3.6,Marwah Eau de Parfum mixte
Afnan," VIOLET (CI60730),BENZYL BENZOATE, METHYL ANTHRANILATE, LIRE LA LISTE D'INGR&EACUTE, COUMARIN, GLYCERIN, CI 17200 / RED 33, CI 42090 (FD&C BLUE NO, CI60730 (EXT, PARFUM, HYDROLYZED COLLAGEN, SYNTHETIC FLUORPHLOGOPITE",4.0,Adwaa Al Sharq huile parfumee mixte
Trussardi," CETYL HYDROXYETHYLCELLULOSE, ALPHA-ISOMETHYLIONONE, ANISE ALCOHOL, FRAGRANCE (PARFUM), PEG-90 GLYCERYL ISOSTEARATE, ISOSTEARYL HYDROXYSTEARATE, SACCHAROMYCES COPPER FERMENT,PROPYLENE GLYCOL, CHLORPHENESIN, WATER ( AQUA), DIMETHICONE, SODIUM STEARATE,CI 17200 (RED 33)",3.7,Donna Eau de Toilette pour femme
Cacharel," CI 60730 / EXT, COLORATIONEN), ACETYL TRIBUTYL CITRATE, B229660/1),CI19140 (YELLOW 5), CI 42053 (GREEN 3), WATER(AQUA/EAU), CETEARYL ALCOHOL, OCTYLDODECANOL, PEAT WATER, CETEARYL ETHYLHEXANOATE, FRAGRANCE, PEG-4, PARFUM (FRAGRANCE) –,BENZYL SALICYLATE, 4 (CI 14700), ETHYLHEXYL PALMITATE, 80% VOL, PARFUM (FRAGRANCE) ·AQUA (WATER) ·ETHYLHEXYL",4.9,Amor Amor Eau de Toilette pour femme
Boucheron," OCTOCRYLENE,BHT,ALCOHOL  DENAT, [+/- CI 77491, RASPBERRY KETONE, BENZYL, SODIUM PHOSPHATE, CI 60730(EXT,I, 6 (CI 15985)",4.6,Pour Homme Eau de Parfum pour homme
Revlon," PARFUM (FRAGRANCE),ALCOHOL DENAT, PEG-8,CI 42090 (BLUE 1), PEG-90 GLYCERYL ISOSTEARATE,#13877 ALCOHOL, AQUA / WATER, MAGNESIUM ASCORBYL PHOSPHATE,PARFUM ( FRAGRANCE),GERANIOL",3.6,Charlie Blue Eau Fraiche Eau de Toilette pour femme
Versace," CI 42090/BLUE 1 [V1416E],ETHYL ALCOHOL DENAT,AQUA, LYCIUM BARBARUM (GOJI BERRY / BAIES DE GOJI) FRUIT EXTRACT, PEG-60 HYDROGENATED CASTOR OIL, CI 77499 / IRON OXIDES, DISODIUM EDTA, CINNAMAL, TRIS(TETRAMETHYLHYDROXYPIPERIDINOL) CITRATE, DISCLAIMER:L’ORÉAL STELLT IHNEN DIE NACHSTEHENDEN INHALTSSTOFFLISTEN AUF IHREN WUNSCH ZUR VERFÜGUNG, COLORATIONEN), DIE SICH AUS VERSCHIEDENEN BESTANDTEILEN ZUSAMMENSETZEN (Z",5.0,Yellow Diamond Eau de Toilette pour femme
Tesori d'Oriente," BHT, ANISE ALCOHOL, PIROCTONE OLAMINE, SYNTHETIC FLUORPHLOGOPITE, PEG-90 GLYCERYL ISOSTEARATE, PARFUM/FRAGRANCE ·AQUA/WATER/EAU, C183783/1), B225622/1), B172401/1), BENZOPHENONE-1, NIACINAMIDE, FARNESOL, HYDROLYZED JOJOBA ESTERS, SACCHAROMYCES ZINC FERMENT, ISOPROPYL ALCOHOL",1.0,Thalasso Therapy Eau de Parfum
Le Couvent Maison de Parfum," CI 42090,#10076 ALCOHOL, B27982/1), FRAGRANCE (PARFUM), HYDROLYZED CORALLINA OFFICINALIS EXTRACT, POLYSORBATE 60, ZUR ÜBERPRÜFUNG DER ZUSAMMENSETZUNG EINES BESTIMMTEN EINZELPRODUKTES IST DAHER STETS DIE AUF DEM PRODUKT ANGEBRACHTE INHALTSSTOFFLISTE ZU KONSULTIEREN, ORANGE 4 (CI 15510),ALCOHOL DENAT, SODIUM STEARATE, PROPYL GALLATE, COLORATIONEN), CITRAL (F, PEG-4, EHTYLHEXYL METHOXYCINNAMATE",3.0,Remarquables Tinhare Eau de Parfum mixte
Afnan," JOJOBA ESTERS, 
COUMARIN, SODIUM STANNATE,CI 14700 – CI 19140 – CI 17200 (BROWN 1 REPLACEMENT), GERANIOL, CI 19140, FRAGRANCE (PARFUM), SODIUM LAUROYL SARCOSINATE, BENZYL BENZOATE (F, TOURMALINE, ZUR ÜBERPRÜFUNG DER ZUSAMMENSETZUNG EINES BESTIMMTEN EINZELPRODUKTES IST DAHER STETS DIE AUF DEM PRODUKT ANGEBRACHTE INHALTSSTOFFLISTE ZU KONSULTIEREN",2.9,Inara White Eau de Parfum mixte
Revlon," GLYCINE SOJA (SOYBEAN / SOJA) OIL, ETHYLHEXYLGLYCERIN, CI 42090 / BLUE 1 , STEARETH-21, STYRENE/ACRYLATES COPOLYMER, PANTHENOL, DIETHYLAMINO HYDOXYBENZOYL HEXYL BENZOATE, PARFUM (FRAGRANCE), VIOLET 2 (CI 60730), SACCHAROMYCES SILICON FERMENT, 78",5.0,Jontue eau de cologne pour femme
Mauboussin," HYDROGENATED LECITHIN,HYDROXYBENZOYLHEXYL BENZOATE ·BHT, B218914/1),PARFUM ( FRAGRANCE), AMYL CINNAMAL, IONONE, HYDROGENATED MICROCRYSTALLINE WAX, (SD ALCOHOL 39-C), CINNAMAL –,2 (CI 60730), BUTYLPHENYL METHYLPROPIONAL, CAPRYLIC/CAPRIC TRIGLYCERIDE, CELLULOSE GUM, ISOEUGENOL, ETHYLHEXYL METHOXYCINNAMATE,COUMARIN, CI 14700 / RED 4,TES INVIT&EACUTE",2.8,Promise Me Intense Eau de Parfum pour femme
The Library of Fragrance," (SD ALCOHOL 39-C), RED 4 (CI 14700), LIMONENE,Tenir hors de portée des enfants,ALCOHOL DENAT AQUA (WATER), 80% VOL, GLUCOSE, B205877/1), GLYCINE SOJA (SOYBEAN / SOJA) OIL, HYDROXYCITRONELLAL, METHYL ANTHRANILATE",2.7,Kitten Fur eau de cologne mixte
Kolmaz," METHYL 2-OCTYNOATE, PPG-15 STEARYL ETHER,C YELLOW N&DEG, VIOLET 2, LINALOOL ·COUMARIN, BENZYL BENZOATE (F, CI 42090 (BLUE 1), METHYLPROPANEDIOL, KÖNNEN VON EINER REFERENZ VERSCHIEDENE VERSIONEN MIT UNTERSCHIEDLICHEN ZUSAMMENSETZUNGEN IM UMLAUF SEIN, TITANIUM/TITANIUM DIOXIDE,PARFUM ( FRAGRANCE), ALCOHOL OF VEGETAL ORIGIN 80% VOL, PEG-40 STEARATE, DIETHYLAMINO , 6 (CI 15985), WATER (AQUA), SODIUM PHOSPHATE, CI 17200 (RED 33),CI 15985/YELLOW 6, COMMIPHORA MUKUL RESIN EXTRACT",3.9,EXOTIC 74 Eau de Parfum pour femme
Reminiscence,"19140), POLYGLYCERYL-10 DECAISOSTEARATE, WATER, 17200 (RED 33), DIPROPYLENE GLYCOL, CINNAMAL –, BENZYL GLYCOL,SD ALCOHOL 40-B (ALCOHOL DENAT, GLUCOSE, VIOLET 2, WATER / AQUA, ETHYHEXYL SALICYLATE, TROMETHAMINE, CAPRYLIC/CAPRIC TRIGLYCERIDE, (SD ALCOHOL 39-C) –,UPPER MASK: AQUA / WATER / EAU, CI 15850",4.0,Ambre Eau de Toilette pour femme
GUERLAIN," PIPERONYL GLUCOSIDE, LIRE LA LISTE D’,AQUA (WATER),CI 42090 (BLUE 1),33 (CI 17200), FRAGRANCE / PARFUM, B, 2 (CI 60730), CI 42090, DILAURYL THIODIPROPIONATE",4.6,Shalimar Eau de Parfum pour femme
Agent Provocateur," [+/- CI 77491,4 (CI 15510), COMMIPHORA MUKUL RESIN EXTRACT,AQUA (WATER)PARFUM (FRAGRANCE), STYRENE ACRYLATES COPOLYMER, O-CYMEN-5-OL, TRIMETHYLSILOXYSILICATE, LINALOOL,C BLUE NO,DIENTS SONT ADAPT&EACUTE, RED 4 (CI4700)",2.7,Miss Ap Eau de Parfum pour femme
Mauboussin,"CI 14700 – CI 19140 – CI 17200 (BROWN 1 REPLACEMENT), EVERNIA FURFURACEA EXTRACT / TREEMOSS EXTRACT, RED 4 (CI 14700), MENTHOL,1% WATER SOL, BENZYL ALCOHOL, AQUA (WATER) – LIMONENE – LINALOOL – ETHYLHEXYL METHOXYCINNAMATE – BUTYL METHOXYDIBENZOYLMETHANE – CITRONELLOL – ETHYLHEXYL SALICYLATE – GERANIOL – BENZYL ALCOHOL – ISOEUGENOL – BENZYL BENZOATE – CI 60730 (EXT, FRAGRANCE / PARFUM, 5 (CI 19140), WATER(AQUA/EAU), BENZYL BENZOATE, PEG-40 HYDROGENATED CASTOR OIL, CI 17200 (RED 33)- CI 60730 (EXT, SACCHAROMYCES MAGNESIUM FERMENT",4.7,Pour Elle Eau de Parfum pour femme
Atkinsons," 60730),ETHYLHEXYL SALICYLATE, SACCHAROMYCES COPPER FERMENT, CI 17200(RED 33), ZUR ÜBERPRÜFUNG DER ZUSAMMENSETZUNG EINES BESTIMMTEN EINZELPRODUKTES IST DAHER STETS DIE AUF DEM PRODUKT ANGEBRACHTE INHALTSSTOFFLISTE ZU KONSULTIEREN, CELLULOSE GUM, RED 33 (CI 17200), PEG-40 HYDROGENATED CASTOR OIL, COCAMIDOPROPYL BETAINE, OCTYLDODECYL PCA, ISOPROPYL MYRISTATE,CI 19140/YELLOW 5, WATER / AQUA, PARFUM (FRAGRANCE) – AQUA (WATER/EAU), CI 19140 (YELLOW 5),#13877 ALCOHOL, LIRE LA LISTE D'INGR&EACUTE",3.9,Posh On The Green Eau de Parfum mixte
Kenneth Cole," SYNTHETIC FLUORPHLOGOPITE,ETHYLHEXYL METHOXYCINNAMATE, ETHYHEXYL SALICYLATE, EVERNIA FURFURACEA (TREEMOSS) EXTRACT, TOCOPHEROL, BUTYL METHOXY DIBENZOYLMETHANE, C VIOLET NO, GLYCOGEN, BUTYL METHOXYDIBENZOYLMETHANE,CI 60730 (EXT VIOLET 2), CI 47005 (YELLOW 10), KÖNNEN VON EINER REFERENZ VERSCHIEDENE VERSIONEN MIT UNTERSCHIEDLICHEN ZUSAMMENSETZUNGEN IM UMLAUF SEIN, ACRYLATES/OCTYLACRYLAMIDE COPOLYMER,C RED NO",5.0,Black for Her Eau de Parfum pour femme
Bvlgari," WATER (AQUA), ALCOHOL OF VEGETAL ORIGIN 80% VOL, SUCROSE ACETATE ISOBUTYRATE, STEARETH-21, C VIOLET NO, CITRIC ACID – BHT,ALPHA-ISOMETHYL IONONE,ALCOHOL  DENAT, VP/VA COPOLYMER, 
COUMARIN, CI 15985 / YELLOW 6, CI 60730 (EXT VIOLET 2) ALCOHOL OF VEGETAL ORIGIN 80% VOL, C, CI 42090 / BLUE 1, ISOSTEARYL HYDROXYSTEARATE, MARIS SAL/SEA SALT/SEL MARIN, GLUCOSE",4.7,Omnia Coral Eau de Toilette pour femme
Parfums De Marly," HYDROGENATED MICROCRYSTALLINE WAX, B229660/1), SODIUM BENZOATE,CI 14700 (RED 4), [+/- CI 77491, B28669/1), DIMETHYL OXOBENZO DIOXASILANE, ALPHA-ISOM ETHYL, C183783/1),C BLUE N&DEG, CI 15510, AMYL CINNAMAL, EVERNIA FURFURACEA EXTRACT / TREEMOSS EXTRACT, TRIETHANOLAMINE",3.0,Meliora Eau de Parfum pour femme
Rasasi," CENTELLA ASIATICA LEAF EXTRACT, 80% VOL, LACTIC ACID, TRIHYDROXYSTEARIN, PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE, AQUA(WATER), HYDROXYPROPYL METHYLCELLULOSE, VIOLET 2 (F, RICINUS COMMUNIS (CASTOR) SEED OIL, POLYQUATERNIUM-7, LECITHIN, TRIS (TETRAMENTHYLHYDROXYPIPERIDINOL) CITRATE, PARFUM (FRAGRANCE) AQUA (WATER) BENZYL SALICYLATE LINALOOL HEXYL CINNAMAL HYDROXYCITRONELLAL ALPHA-ISOMETHYL IONONE CITRONELLOL LIMONENE GERANIOL EUGENOL BENZYL BENZOATE BENZYL ALCOHOL CITRAL, TETRASODIUM EDTA,C VIOLET NO,LES LISTES D’",5.0,La Yuqawam Eau de Parfum pour femme
The Library of Fragrance," TOCOPHEROL, PROPANEDIOL, CITRONELLOL (F,4 (CI 15510), B228531/1), PIPERONYL GLUCOSIDE, LAURETH-2, YELLOW 5 (C,PARFUM ( FRAGRANCE), BENZOPHENONE -3, 6 (CI 15985),#13380 ALCOHOL, CI 42053 (GREEN 3), SODIUM CHLORIDE, CI 17200, AQUA / WATER, PARFUM (FRAGRANCE)",5.0,Green Tea eau de cologne mixte
Katy Perry," BUTYL METHOXYDIBENZOYLMETHANE, ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER,D&C VIOLET NO, PARFUM, VIOLET 2), PARFUM (FRAGRANCE) AQUA (WATER) BENZYL SALICYLATE LINALOOL HEXYL CINNAMAL HYDROXYCITRONELLAL ALPHA-ISOMETHYL IONONE CITRONELLOL LIMONENE GERANIOL EUGENOL BENZYL BENZOATE BENZYL ALCOHOL CITRAL, ORANGE 4 (CI 15510), BENZOPHENONE -3, HYDROGEN PEROXIDE, BUTYROSPERMUM PARKII (SHEA BUTTER), DIE SICH AUS VERSCHIEDENEN BESTANDTEILEN ZUSAMMENSETZEN (Z,AQUA / WATER",4.0,Katy Perry's Mad Love Eau de Parfum pour femme
Comptoir Sud Pacifique," HYDROGEN PEROXIDE, HYDROXYPROPYL METHYLCELLULOSE,C BLUE NO, BENZOPHENONE-3, PROPANE, TITANIUM/TITANIUM DIOXIDE, ZUR ÜBERPRÜFUNG DER ZUSAMMENSETZUNG EINES BESTIMMTEN EINZELPRODUKTES IST DAHER STETS DIE AUF DEM PRODUKT ANGEBRACHTE INHALTSSTOFFLISTE ZU KONSULTIEREN, (SD ALCOHOL 39-C) –, CYAMOPSIS TETRAGONOLOBA (GUAR) GUM, FD&",3.3,Mora Bella Eau de Toilette pour femme
GUERLAIN,"CITRONELLOLLINALOOL, TITANIUM/TITANIUM DIOXIDE, CETTE LISTE D'INGR&EACUTE,ETHYL ALCOHOL DENAT,L ETHYLHEXYL METHOXYCINNAMATE LIMONENE, RED 33 / CI 17200, ADIPIC ACID NEOPENTYL GLYCOL TRIMELLITIC ANHYDRIDE COPOLYMER, LIMONENE, SODIUM STANNATE, PARFUM (FRAGRANCE) –, ETHYLHEXYL,CI 14700/RED 4, HYDRATED SILICA, PARFUM, STYRENE/ACRYLATES COPOLYMER",3.9,L'Initial Eau de Parfum pour femme
Versace," ANISE ALCOHOL (F, ALPHA-ISOMETHYL IONONE, LECITHIN, DIETHYLHEXYL ADIPATE, FD&C RED NO, HYDROGENATED MICROCRYSTALLINE WAX, HYDROXYPROPYL METHYLCELLULOSE, CI 60730 (EXT VIOLET 2) ALCOHOL OF VEGETAL ORIGIN 80% VOL,ALPHA-ISOMETHYL IONONE, ETHYLHEXYL,#08212 ALCOHOL, CI 15850 (RED 7",4.7,Eros Eau de Parfum pour homme
Afnan," PARFUM/FRAGRANCE ·AQUA/WATER/EAU, JOUR, DIE SICH AUS VERSCHIEDENEN BESTANDTEILEN ZUSAMMENSETZEN (Z, WATER (AQUA/EAU),YELLOW 5 8CI19140), SIE GELTEN STETS NUR FÜR DAS JEWEILS BEZEICHNETE PRODUKT MIT DER DAZU ANGEGEBENEN PRODUKT-REFERENZNUMMER,L, UREA,ALCOHOL, B44508/2)",4.0,Paris Oud Eau de Parfum pour femme
